country,year,model,point,lo80,hi80,lo95,hi95
Bangladesh,2022,ARIMAX_best_subset,108.2942514004928,104.63596765036054,111.95253515062505,102.69938921292224,113.88911358806335
Bangladesh,2022,ARIMAX_best_subset,107.496415098348,107.1240798326267,107.86875036406929,106.92697744901098,108.06585274768501
Bangladesh,2022,ARIMAX_best_subset,107.38815049462306,106.2074041609794,108.56889682826673,105.58235480833254,109.19394618091358
Bangladesh,2023,ARIMAX_best_subset,108.91906064011238,104.25847402577446,113.5796472544503,101.79130850237455,116.0468127778502
Bangladesh,2023,ARIMAX_best_subset,107.55930608167954,106.80296317503756,108.31564898832151,106.40257942561975,108.71603273773933
Bangladesh,2023,ARIMAX_best_subset,107.17533872392187,104.75822726922665,109.59245017861709,103.47868575638509,110.87199169145865
Bangladesh,2024,ARIMAX_best_subset,109.41223639644556,104.22418242103832,114.60029037185281,101.47779254335961,117.34668024953152
Bangladesh,2024,ARIMAX_best_subset,107.67586293744468,106.54145417796195,108.8102716969274,105.94093445535268,109.41079141953668
Bangladesh,2024,ARIMAX_best_subset,106.88658036736008,103.168440013913,110.60472072080717,101.20017540469712,112.57298533002304
Bangladesh,2025,ARIMAX_best_subset,109.8015109321149,104.31038718748383,115.29263467674596,101.40356186515241,118.19945999907738
Bangladesh,2025,ARIMAX_best_subset,107.82814156846207,106.36021597652191,109.29606716040223,105.583143107581,110.07314002934315
Bangladesh,2025,ARIMAX_best_subset,106.540583104969,101.5266019647679,111.5545642451701,98.87236067977061,114.2088055301674
Bangladesh,2026,ARIMAX_best_subset,110.10877393556673,104.43701079987682,115.78053707125665,101.43456076017242,118.78298711096105
Bangladesh,2026,ARIMAX_best_subset,107.99766311294809,106.26322627495162,109.73209995094456,105.34507087450154,110.65025535139463
Bangladesh,2026,ARIMAX_best_subset,106.15293813106612,99.88907643699945,112.4167998251328,96.57318835385479,115.73268790827746
Bangladesh,2027,ARIMAX_best_subset,110.35130342218706,104.56984952635658,116.13275731801754,101.50933270578348,119.19327413859064
Bangladesh,2027,ARIMAX_best_subset,108.16710777169183,106.24155806669587,110.09265747668779,105.22223362561716,111.1119819177665
Bangladesh,2027,ARIMAX_best_subset,105.73656895229821,98.29235376798522,113.18078413661121,94.35162429092641,117.12151361367002
Bangladesh,2028,ARIMAX_best_subset,110.54273731178495,104.69398286895508,116.39149175461482,101.59783929085063,119.48763533271926
Bangladesh,2028,ARIMAX_best_subset,108.32166271732163,106.27678575341066,110.3665396812326,105.19429327715562,111.44903215748764
Bangladesh,2028,ARIMAX_best_subset,105.30212046426557,96.75993279626576,113.84430813226538,92.2379717958918,118.36626913263935
Bangladesh,2029,ARIMAX_best_subset,110.6938403161959,104.8035444210354,116.58413621135641,101.68541012642612,119.70227050596569
Bangladesh,2029,ARIMAX_best_subset,108.44995609923583,106.34449528739238,110.55541691107929,105.22993165931406,111.6699805391576
Bangladesh,2029,ARIMAX_best_subset,104.85829585771074,95.30643957230593,114.41015214311555,90.24999229175921,119.46659942366227
Bangladesh,2030,ARIMAX_best_subset,110.813109260634,104.8970792984819,116.72913922278609,101.7653222116981,119.86089630956988
Bangladesh,2030,ARIMAX_best_subset,108.54455518269906,106.41815563920534,110.67095472619278,105.29250771614312,111.796602649255
Bangladesh,2030,ARIMAX_best_subset,104.4121479851265,93.9402839196794,114.88401205057359,88.39681393920105,120.42748203105194
Bangladesh,2031,ARIMAX_best_subset,110.90725087722745,104.9752442783889,116.83925747606601,101.83502967102358,119.97947208343133
Bangladesh,2031,ARIMAX_best_subset,108.60204796279379,106.47342437329598,110.7306715522916,105.3465991113969,111.85749681419068
Bangladesh,2031,ARIMAX_best_subset,103.96933100745149,92.66546649882676,115.27319551607621,86.68156208836777,121.2570999265352
Bangladesh,2032,ARIMAX_best_subset,110.98155893802722,105.03962014390804,116.9234977321464,101.8941477499601,120.06897012609434
Bangladesh,2032,ARIMAX_best_subset,108.62276124179157,106.49253189173227,110.75299059185086,105.36485659153885,111.88066589204428
Bangladesh,2032,ARIMAX_best_subset,103.53431742568446,91.4828536770328,115.58578117433613,85.10319413466829,121.96544071670064
Bangladesh,2033,ARIMAX_best_subset,111.0402119344344,105.09209347573064,116.98833039313816,101.94334976495696,120.13707410391183
Bangladesh,2033,ARIMAX_best_subset,108.61019231333084,106.46764065660139,110.7527439700603,105.33344232128363,111.88694230537806
Bangladesh,2033,ARIMAX_best_subset,103.11058497258813,90.3910994281937,115.83007051698256,83.65781050830279,122.56335943687347
Bangladesh,2034,ARIMAX_best_subset,111.0865080421583,105.13454271458804,117.03847336972856,101.98376259444665,120.18925348986996
Bangladesh,2034,ARIMAX_best_subset,108.57024531576143,106.40166880204403,110.73882182947882,105.25369373962619,111.88679689189667
Bangladesh,2034,ARIMAX_best_subset,102.70077728527176,89.3873229020883,116.01423166845521,82.33960587211229,123.06194869843122
Bangladesh,2035,ARIMAX_best_subset,111.1230505842563,105.16868980078647,117.07741136772614,102.01664160289064,120.22945956562197
Bangladesh,2035,ARIMAX_best_subset,108.51036726005532,106.30594441271433,110.71479010739631,105.13899344752399,111.88174107258665
Bangladesh,2035,ARIMAX_best_subset,102.30684179156218,88.4676113496618,116.14607223346256,81.14156528679004,123.47211829633432
Bangladesh,2036,ARIMAX_best_subset,111.15189442121444,105.19604168537597,117.1077471570529,102.04320369560394,120.26058514682494
Bangladesh,2036,ARIMAX_best_subset,108.4386737999336,106.1958133525621,110.6815342473051,105.00851475102365,111.86883284884354
Bangladesh,2036,ARIMAX_best_subset,101.93014781392212,87.62739517402915,116.23290045381509,80.05597528145543,123.8043203463888
Bangladesh,2037,ARIMAX_best_subset,111.17466149987678,105.21787942275637,117.13144357699719,102.06454946942695,120.2847735303266
Bangladesh,2037,ARIMAX_best_subset,108.3631427073116,106.08623559777202,110.64004981685117,104.88091378198204,111.84537163264115
Bangladesh,2037,ARIMAX_best_subset,101.57158751736952,86.86172765641453,116.28144737832451,79.07479821896047,124.06837681577858
Bangladesh,2038,ARIMAX_best_subset,111.19263205877189,105.23527104799491,117.14999306954887,102.0816346257001,120.30362949184368
Bangladesh,2038,ARIMAX_best_subset,108.29093583836993,105.98880642207179,110.59306525466808,104.77013272361026,111.8117389531296
Bangladesh,2038,ARIMAX_best_subset,101.23166199629367,86.16549267999376,116.29783131259357,78.18994441048453,124.2733795821028
Bangladesh,2039,ARIMAX_best_subset,111.20681661849484,105.24909494346336,117.16453829352632,102.09526759704507,120.31836563994462
Bangladesh,2039,ARIMAX_best_subset,108.22789035968748,105.91053073877029,110.54524998060467,104.68379465699529,111.77198606237967
Bangladesh,2039,ARIMAX_best_subset,100.91055450386149,85.53355756077197,116.28755144695101,77.39346708488546,124.42764192283752
Bangladesh,2040,ARIMAX_best_subset,111.21801280530839,105.26006643687568,117.1759591737411,102.10612014495572,120.32990546566106
Bangladesh,2040,ARIMAX_best_subset,108.1781993107149,105.85399720576332,110.50240141566648,104.62363893174063,111.73275968968917
Bangladesh,2040,ARIMAX_best_subset,100.60819257208482,84.96088377607386,116.25550136809578,76.67769884893471,124.53868629523492
Bangladesh,2041,ARIMAX_best_subset,111.22685020326874,105.26876384852176,117.18493655801572,102.11474345232334,120.33895695421414
Bangladesh,2041,ARIMAX_best_subset,108.14428211654639,105.81840890323735,110.47015532985543,104.58716599788677,111.70139823520601
Bangladesh,2041,ARIMAX_best_subset,100.32430054635539,84.44260529924279,116.20599579346799,76.03534367979822,124.61325741291256
Bangladesh,2042,ARIMAX_best_subset,111.23382575700057,105.27565218832487,117.19199932567628,102.12158562386138,120.34606589013977
Bangladesh,2042,ARIMAX_best_subset,108.12682895844759,105.80095328894251,110.45270462795267,104.5697090833603,111.68394883353488
Bangladesh,2042,ARIMAX_best_subset,100.05844386161691,83.97408199968973,116.14280572354409,75.45953515497405,124.65735256825977
Bangladesh,2043,ARIMAX_best_subset,111.23933171589074,105.28110381101739,117.1975596207641,102.12700848270836,120.35165494907312
Bangladesh,2043,ARIMAX_best_subset,108.12499002267171,105.7980777077173,110.45190233762612,104.56628473518272,111.6836953101607
Bangladesh,2043,ARIMAX_best_subset,99.81006621503218,83.5509338939092,116.06919853615516,74.94386915667971,124.67626327338465
Bangladesh,2044,ARIMAX_best_subset,111.24367769105854,105.28541593338623,117.20193944873084,102.13130268448795,120.35605269762912
Bangladesh,2044,ARIMAX_best_subset,108.13667215677495,105.80636766053564,110.46697665301426,104.57277897569963,111.70056533785026
Bangladesh,2044,ARIMAX_best_subset,99.57852063910313,83.16906076747254,115.98798051073372,74.48241743198494,124.67462384622132
Bangladesh,2045,ARIMAX_best_subset,111.24710806541037,105.28882521654576,117.20539091427499,102.13470080264469,120.35951532817606
Bangladesh,2045,ARIMAX_best_subset,108.1589014752536,105.82291598204421,110.49488696846299,104.58631995907184,111.73148299143536
Bangladesh,2045,ARIMAX_best_subset,99.36309534713872,82.82465071732969,115.90153997694776,74.06972697537074,124.65646371890671
Bangladesh,2046,ARIMAX_best_subset,111.2498157357811,105.291519746521,117.20811172504119,102.13738837651475,120.36224309504745
