country,model,MASE_robust,RMSE,MAE
Bangladesh,linear,0.618418932180732,1.3921509834690584,1.3318598694179968
Bhutan,arimax_full,0.1125609136732012,0.11329190086313037,0.08563637992133125
India,arimax_full,0.13527674727406705,0.5047017315979959,0.3838530378585858
Nepal,arimax_full,0.24397006388337603,0.4731241071355815,0.37316417756456416
Pakistan,arimax_full,0.09559188568751284,0.22829330735073697,0.20020069144190417
