country,year,model,point,lo80,hi80,lo95,hi95
Bangladesh,2022,arima,108.2942514004928,104.63596765036054,111.95253515062505,102.69938921292224,113.88911358806335
Bhutan,2022,arimax_exo,110.97553589937267,110.93486465285294,111.01620714589241,110.91333459547808,111.03773720326727
India,2022,arimax_exo,151.00330250006644,150.88363977159017,151.1229652285427,150.8202941495553,151.18631085057757
Nepal,2022,arimax_exo,136.50143570331795,136.36681595326246,136.63605545337344,136.2955525622799,136.707318844356
Pakistan,2022,arimax_exo,183.52875822311333,183.43153164704583,183.62598479918083,183.3800630066618,183.67745343956486
