country,H1_point,H1_lo95,H1_hi95,H5_point,H5_lo95,H5_hi95,H10_point,H10_lo95,H10_hi95
Bangladesh,107.38815049462306,105.58235480833254,109.19394618091358,106.15293813106612,96.57318835385479,115.73268790827746,103.96933100745149,86.68156208836777,121.2570999265352
Bhutan,110.95815429195865,110.8986316559559,111.0176769279614,110.75800730587744,110.54170972031288,110.974304891442,110.55741986916381,110.27482515923124,110.84001457909638
India,151.2290253401353,150.9568360155724,151.5012146646982,151.60598161340675,150.02899968796055,153.18296353885296,152.19466010289136,149.10632522499304,155.28299498078968
Nepal,136.69291319854707,136.4203062287592,136.96552016833496,137.3521851927354,135.3304777958228,139.373892589648,138.17627518547079,132.8273401895003,143.52521018144128
Pakistan,183.35732053175477,183.19019866672372,183.52444239678582,183.16680053797086,182.05439461087707,184.27920646506465,183.2546292847914,180.72819821685724,185.78106035272558
