country,year,model,point,lo80,hi80,lo95,hi95
Bhutan,2028,arimax_exo,110.65038861565652,110.47855637822595,110.8222208530871,110.38759388635997,110.91318334495308
Bhutan,2029,arimax_exo,110.60797342931923,110.42832526253918,110.78762159609929,110.33322526760331,110.88272159103515
Bhutan,2030,arimax_exo,110.57662670734094,110.39307189104852,110.76018152363335,110.29590384078261,110.85734957389926
Bhutan,2031,arimax_exo,110.55741986916381,110.37264112027589,110.74219861805173,110.27482515923124,110.84001457909638
Bhutan,2032,arimax_exo,110.55080712835162,110.36596499824428,110.73564925845896,110.2681154852088,110.83349877149445
Bhutan,2033,arimax_exo,110.55612290740578,110.37097703359409,110.74126878121747,110.27296672835426,110.8392790864573
Bhutan,2034,arimax_exo,110.57202458287956,110.38533776310513,110.758711402654,110.28651173034699,110.85753743541214
Bhutan,2035,arimax_exo,110.59647101892628,110.40662592611278,110.78631611173978,110.30612800459896,110.8868140332536
Bhutan,2036,arimax_exo,110.62702585718995,110.43265783619908,110.82139387818081,110.32976562113652,110.92428609324338
Bhutan,2037,arimax_exo,110.66100549668178,110.46141858343337,110.86059240993019,110.35576365369268,110.96624733967089
Bhutan,2038,arimax_exo,110.6957229091611,110.49101985603822,110.90042596228399,110.3826566054453,111.0087892128769
Bhutan,2039,arimax_exo,110.7286587586674,110.51961217682705,110.93770534050773,110.40894960102288,111.0483679163119
Bhutan,2040,arimax_exo,110.7576363894382,110.54541568747342,110.96985709140299,110.43307283397328,111.08219994490312
Bhutan,2041,arimax_exo,110.78094042667621,110.56679466878256,110.99508618456986,110.45343275223064,111.10844810112178
Bhutan,2042,arimax_exo,110.79740277201437,110.58238243064285,111.01242311338588,110.46855753756407,111.12624800646466
Bhutan,2043,arimax_exo,110.8064368728,110.59120624171325,111.02166750388676,110.4772700279836,111.13560371761642
Bhutan,2044,arimax_exo,110.80803131093606,110.59280059603486,111.02326202583725,110.4788643379365,111.13719828393562
Bhutan,2045,arimax_exo,110.80270135387728,110.58728006859245,111.01812263916212,110.47324292862682,111.13215977912775
Bhutan,2046,arimax_exo,110.79140846472058,110.57535319640533,111.00746373303582,110.46098044609609,111.12183648334506
India,2022,arimax_exo,151.2290253401353,151.05105030703797,151.40700037323265,150.9568360155724,151.5012146646982
India,2023,arimax_exo,151.30697772178107,150.93356105268563,151.6803943908765,150.73588620870336,151.87806923485877
India,2024,arimax_exo,151.39751652856268,150.8099990453386,151.98503401178675,150.49898607659645,152.2960469805289
India,2025,arimax_exo,151.4979737878923,150.6887955126798,152.3071520631048,150.26044240864204,152.73550516714258
India,2026,arimax_exo,151.60598161340675,150.57484855620143,152.63711467061208,150.02899968796055,153.18296353885296
India,2027,arimax_exo,151.71944987144389,150.47097645781813,152.96792328506965,149.810074554718,153.62882518816977
India,2028,arimax_exo,151.8365445838681,150.37869625181966,153.29439291591652,149.6069579620278,154.0661312057084
India,2029,arimax_exo,151.95566715640012,150.2986691492378,153.61266516356244,149.42150738959228,154.48982692320797
India,2030,arimax_exo,152.07543450102878,150.2309772380229,153.91989176403467,149.25458054266417,154.8962884593934
India,2031,arimax_exo,152.19466010289136,150.1753064673574,154.21401373842534,149.10632522499304,155.28299498078968
India,2032,arimax_exo,152.31233606602115,150.13107330110316,154.49359883093913,148.9763825429643,155.648289589078
India,2033,arimax_exo,152.4276161583997,150.09751530313702,154.7577170136624,148.86403441932225,155.99119789747715
India,2034,arimax_exo,152.53979986464662,150.0737574342807,155.00584229501254,148.76831342757075,156.3112863017225
India,2035,arimax_exo,152.64831744427252,150.0588613180291,155.23777357051594,148.68808604708568,156.60854884145937
India,2036,arimax_exo,152.75271598455416,150.05186216788823,155.45356980122008,148.62211652176686,156.88331544734146
India,2037,arimax_exo,152.85264642962267,150.05179653724304,155.6534963220023,148.56911616618441,157.13617669306092
India,2038,arimax_exo,152.9478515611487,150.05772309588477,155.83798002641262,148.52778150317633,157.36792161912106
India,2039,arimax_exo,153.03815490093407,150.06873801631332,156.00757178555483,148.49682366978024,157.5794861320879
India,2040,arimax_exo,153.1234505016588,150.08398613617396,156.16291486714363,148.47499089315946,157.77191011015813
India,2041,arimax_exo,153.20369358887385,150.10266877527675,156.30471840247094,148.4610853995323,157.9463017782154
India,2042,arimax_exo,153.27889201497038,150.1240488816937,156.43373514824705,148.45397580844372,158.10380822149705
India,2043,arimax_exo,153.34909848420025,150.14745403381306,156.55074293458745,148.45260583983693,158.24559112856358
India,2044,arimax_exo,153.41440350678172,150.17227771642942,156.65652929713403,148.45599999553585,158.3728070180276
India,2045,arimax_exo,153.47492903961896,150.19797920752015,156.75187887171776,148.4632667524843,158.48659132675363
India,2046,arimax_exo,153.53082277111992,150.22408235062127,156.83756319161856,148.47359971069162,158.58804583154821
Nepal,2022,arimax_exo,136.69291319854707,136.51466508191547,136.87116131517868,136.4203062287592,136.96552016833496
Nepal,2023,arimax_exo,136.85773119709415,136.4591562914446,137.2563061027437,136.24816348150821,137.4672989126801
Nepal,2024,arimax_exo,137.02254919564123,136.35560581336807,137.6894925779144,136.00254731344836,138.0425510778341
Nepal,2025,arimax_exo,137.1873671941883,136.21106205106895,138.16367233730767,135.6942373273288,138.68049706104782
Nepal,2026,arimax_exo,137.3521851927354,136.0302617798445,138.6741086056263,135.3304777958228,139.373892589648
Nepal,2027,arimax_exo,137.51700319128247,135.81662453094626,139.21738185161868,134.91649844068104,140.1175079418839
Nepal,2028,arimax_exo,137.68182118982955,135.57276103147,139.7908813481891,134.45629202444132,140.90735035521777
Nepal,2029,arimax_exo,137.84663918837663,135.30074685348242,140.39253152327083,133.95303286065248,141.74024551610077
Nepal,2030,arimax_exo,138.0114571869237,135.00228263921585,141.02063173463156,133.40932185716375,142.61359251668367
Nepal,2031,arimax_exo,138.17627518547079,134.67879458268771,141.67375578825386,132.8273401895003,143.52521018144128
Nepal,2032,arimax_exo,138.34109318401786,134.33150094940697,142.35068541862876,132.2089510339755,144.47323533406023
Nepal,2033,arimax_exo,138.50591118256494,133.96145805773656,143.05036430739332,131.55576989011598,145.4560524750139
Nepal,2034,arimax_exo,138.67072918111202,133.5695932001034,143.77186516212063,130.86921492930776,146.4722434329163
Nepal,2035,arimax_exo,138.8355471796591,133.1567289091954,144.5143654501228,130.1505441067418,147.5205502525764
Nepal,2036,arimax_exo,139.00036517820618,132.72360128726984,145.27712906914252,129.4008831936722,148.59984716274016
Nepal,2037,arimax_exo,139.16518317675326,132.2708741425036,146.05949221100292,128.6212473970984,149.70911895640813
Nepal,2038,arimax_exo,139.33000117530034,131.79915008909236,146.8608522615083,127.81255833590154,150.84744401469914
Nepal,2039,arimax_exo,139.49481917384742,131.3089794005903,147.68065894710455,126.97565758085949,152.01398076683535
Nepal,2040,arimax_exo,139.6596371723945,130.80086716892916,148.51840717585983,126.11131760342155,153.20795674136744
Nepal,2041,arimax_exo,139.82445517094158,130.27527916421818,149.37363117766498,125.22025073749889,154.42865960438425
Nepal,2042,arimax_exo,139.98927316948865,129.73264668341355,150.24589965556376,124.30311659486487,155.67542974411242
Nepal,2043,arimax_exo,140.15409116803573,129.17337060156606,151.1348117345054,123.36052826100357,156.9476540750679
Nepal,2044,arimax_exo,140.3189091665828,128.59782478664405,152.03999354652157,122.39305751763061,158.24476081553502
Nepal,2045,arimax_exo,140.4837271651299,128.00635900091808,152.9610953293417,121.4012392799784,159.5662150502814
Nepal,2046,arimax_exo,140.64854516367697,127.39930138405012,153.89778894330382,120.38557539435307,160.91151493300086
Pakistan,2022,arimax_exo,183.35732053175477,183.2480454177952,183.46659564571434,183.19019866672372,183.52444239678582
Pakistan,2023,arimax_exo,183.2848755669447,183.04689873005,183.52285240383938,182.92092140231443,183.64882973157495
Pakistan,2024,arimax_exo,183.2294274942499,182.84163795971375,183.61721702878606,182.63635458036413,183.82250040813568
Pakistan,2025,arimax_exo,183.19031125168829,182.6378696826728,183.74275282070377,182.3454247813003,184.03519772207628
Pakistan,2026,arimax_exo,183.16680053797086,182.43943739832486,183.89416367761686,182.05439461087707,184.27920646506465
Pakistan,2027,arimax_exo,183.15811591483825,182.24910941769966,184.06712241197684,181.7679104451524,184.5483213845241
Pakistan,2028,arimax_exo,183.163432756912,182.06893561353658,184.2579299002874,181.48954382425234,184.83732168957164
Pakistan,2029,arimax_exo,183.1818890091083,181.90044411456674,184.46333390364984,181.2220881637893,185.14168985442728
Pakistan,2030,arimax_exo,183.21259271521419,181.74476031043093,184.68042511999744,180.9677367717911,185.45744865863728
Pakistan,2031,arimax_exo,183.2546292847914,181.6026848021935,184.90657376738932,180.72819821685724,185.78106035272558
Pakistan,2032,arimax_exo,183.30706846913125,181.47474798884457,185.13938894941793,180.50477611816302,186.10936082009948
Pakistan,2033,arimax_exo,183.36897102050972,181.36125053546837,185.37669150555107,180.2984275109849,186.43951453003453
Pakistan,2034,arimax_exo,183.43939501246902,181.26229488107955,185.6164951438585,180.10980768802335,186.7689823369147
Pakistan,2035,arimax_exo,183.5174018022596,181.1778108196973,185.8569927848219,179.93930616595318,187.095497438566
Pakistan,2036,arimax_exo,183.6020616198989,181.1075770168179,186.0965462229799,179.7870766333597,187.4170466064381
Pakistan,2037,arimax_exo,183.6924587715244,181.0512396450383,186.3336778980105,179.65306269697686,187.73185484607194
Pakistan,2038,arimax_exo,183.78769644782503,181.00832891332712,186.56706398232294,179.53702061559596,188.0383722800541
Pakistan,2039,arimax_exo,183.88690113131403,180.9782740090308,186.79552825359727,179.43853981882256,188.3352624438055
Pakistan,2040,arimax_exo,183.98922659904775,180.96041680775124,187.01803639034426,179.3570617556138,188.6213914424817
Pakistan,2041,arimax_exo,184.09385752008845,180.95402459850777,187.23369044166913,179.2918974513524,188.89581758882449
Pakistan,2042,arimax_exo,184.20001264954803,180.9583019994249,187.44172329967117,179.24224404049386,189.1577812586022
Pakistan,2043,arimax_exo,184.3069476234264,180.97240219002165,187.64149305683114,179.20720046537235,189.40669478148044
Pakistan,2044,arimax_exo,184.41395736066832,180.9954375521407,187.83247716919595,179.18578247852565,189.642132242811
Pakistan,2045,arimax_exo,184.5203780809023,181.02648978755624,188.01426637424836,179.17693704811455,189.86381911369006
Pakistan,2046,arimax_exo,184.62558894819188,181.06461956293535,188.1865583334484,179.17955623846893,190.07162165791482
